name,pos,snap_total,snap_percent,team,opp,week
Bryce Young,QB,59,0.98,CAR,NO,2
Jonathan Mingo,WR,59,0.98,CAR,NO,2
Adam Thielen,WR,52,0.87,CAR,NO,2
DJ Chark,WR,37,0.62,CAR,NO,2
Miles Sanders,RB,37,0.62,CAR,NO,2
Hayden Hurst,TE,33,0.55,CAR,NO,2
Chuba Hubbard,RB,22,0.37,CAR,NO,2
Terrace Marshall,WR,22,0.37,CAR,NO,2
Ian Thomas,TE,19,0.32,CAR,NO,2
Laviska Shenault,WR,10,0.17,CAR,NO,2
Tommy Tremble,TE,8,0.13,CAR,NO,2
Giovanni Ricci,TE,1,0.02,CAR,NO,2
Andy Dalton,QB,1,0.02,CAR,NO,2
Ihmir Smith-Marsette,WR,0,0.0,CAR,NO,2
