name,pos,snap_total,snap_percent,team,opp
Dak Prescott,QB,51,0.88,DAL,NYG
CeeDee Lamb,WR,46,0.79,DAL,NYG
Jake Ferguson,TE,42,0.72,DAL,NYG
Michael Gallup,WR,39,0.67,DAL,NYG
Tony Pollard,RB,37,0.64,DAL,NYG
Brandin Cooks,WR,34,0.59,DAL,NYG
Peyton Hendershot,TE,28,0.48,DAL,NYG
Luke Schoonmaker,TE,16,0.28,DAL,NYG
Jalen Tolbert,WR,16,0.28,DAL,NYG
KaVontae Turpin,WR,11,0.19,DAL,NYG
Rico Dowdle,RB,9,0.16,DAL,NYG
Deuce Vaughn,RB,8,0.14,DAL,NYG
Cooper Rush,QB,7,0.12,DAL,NYG
Hunter Luepke,RB,4,0.07,DAL,NYG
